,StopLocationID,StopNameShort,StopNameLong,StopType,SuburbName,PostCode,RegionName,LocalGovernmentArea,StatDivision,GPSLat,GPSLong
39,1728,Charles Street,Charles St/Henry St (Greensborough),Kerbside,Greensborough,3088.0,Melbourne,Banyule,Greater Metro,-37.711867,145.10206599999998
40,5875,Charles St,Charles St/Williamstown Rd (Seddon),Kerbside,Seddon,3011.0,Melbourne,Maribyrnong,Greater Metro,-37.806212,144.884835
41,5877,Thomson Street,Thomson St/Ballarat Rd (Maidstone),Kerbside,Maidstone,3012.0,Melbourne,Maribyrnong,Greater Metro,-37.785635,144.8757
42,5878,Studley Street,Studley St/Ballarat Rd (Maidstone),Kerbside,Maidstone,3012.0,Melbourne,Maribyrnong,Greater Metro,-37.787155,144.879375
44,5880,Eleanor St,Eleanor St/Ballarat Rd (Footscray),Kerbside,Footscray,3011.0,Melbourne,Maribyrnong,Greater Metro,-37.789660999999995,144.88544299999998
45,5881,Western Hospital,Western Hospital/Gordon St (Footscray),Kerbside,Footscray,3011.0,Melbourne,Maribyrnong,Greater Metro,-37.7921,144.88931000000002
47,5883,Essex Street,Essex St/Gordon St (Footscray),Kerbside,Footscray,3011.0,Melbourne,Maribyrnong,Greater Metro,-37.796555,144.8885
48,5884,Barkly Street,Barkly St/Gordon St (Footscray),Kerbside,Footscray,3011.0,Melbourne,Maribyrnong,Greater Metro,-37.798444,144.888149
49,5885,Geelong Road,Geelong Rd/Barkly St (Footscray),Kerbside,Footscray,3011.0,Melbourne,Maribyrnong,Greater Metro,-37.79883,144.891256
50,5886,Barkly Street,Barkly St/Victoria St (Footscray),Kerbside,Footscray,3011.0,Melbourne,Maribyrnong,Greater Metro,-37.799479999999996,144.89302
51,5887,St Johns Church,St Johns Church/79 Paisley St (Footscray),Kerbside,Footscray,3011.0,Melbourne,Maribyrnong,Greater Metro,-37.800492999999996,144.895672
55,5897,Wellington Street,Wellington St/Ashley St (West Footscray),Kerbside,West Footscray,3012.0,Melbourne,Maribyrnong,Greater Metro,-37.79137,144.863476
56,5898,Alma Street,Central West Plaza/Ashley St (West Footscray),Bus Bay,West Footscray,3012.0,Melbourne,Maribyrnong,Greater Metro,-37.793728,144.86298
59,5901,Rondell Avenue,Rondell Ave/Barkly St (West Footscray),Kerbside,West Footscray,3012.0,Melbourne,Maribyrnong,Greater Metro,-37.796509,144.869371
60,5902,First Street,First St/Barkly St (West Footscray),Kerbside,West Footscray,3012.0,Melbourne,Maribyrnong,Greater Metro,-37.796890000000005,144.87221
61,5903,Russell Street,Russell St/Barkly St (West Footscray),Kerbside,West Footscray,3012.0,Melbourne,Maribyrnong,Greater Metro,-37.797084999999996,144.874197
64,5906,Eleanor Street,Eleanor St/Barkly St (Footscray),Kerbside,Footscray,3011.0,Melbourne,Maribyrnong,Greater Metro,-37.798234,144.884493
65,5907,Gordon Street,Gordon St/Barkly St (Footscray),Kerbside,Footscray,3011.0,Melbourne,Maribyrnong,Greater Metro,-37.798612,144.887705
66,5908,Barkly Street,Barkly St/Victoria St (Footscray),Bus Bay,Footscray,3011.0,Melbourne,Maribyrnong,Greater Metro,-37.798784999999995,144.89312900000002
67,5910,Irving St,Irving St/Nicholson St (Footscray),Kerbside,Footscray,3011.0,Melbourne,Maribyrnong,Greater Metro,-37.802782,144.8988
69,5912,Whitehall Street,Whitehall St/Napier St (Footscray),Kerbside,Footscray,3011.0,Melbourne,Maribyrnong,Greater Metro,-37.805278,144.904628
70,6010,Meyers Road,Doug Mills Reserve/Farnsworth Ave (Footscray),Bus Bay,Footscray,3011.0,Melbourne,Maribyrnong,Greater Metro,-37.790153000000004,144.899978
72,6012,Tiernan St,Tiernan St/Droop St (Footscray),Kerbside,Footscray,3011.0,Melbourne,Maribyrnong,Greater Metro,-37.7948,144.895429
74,6014,Nicholson St,Nicholson St/Droop St (Footscray),Kerbside,Footscray,3011.0,Melbourne,Maribyrnong,Greater Metro,-37.799207,144.899141
78,6021,Shackell Street,Shackell St/Williamstown Rd (Kingsville),Kerbside,Kingsville,3012.0,Melbourne,Maribyrnong,Greater Metro,-37.807725,144.88432
120,13509,Narre Warren North CFA,Narre Warren North CFA/Memorial Dr (Narre Warren North),Kerbside,Narre Warren North,3804.0,Melbourne,Casey,Greater Metro,-37.987744,145.314735
125,13515,Oatlands Primary School,Oatlands Primary School/Kurrajong Rd (Narre Warren),Kerbside,Narre Warren,3805.0,Melbourne,Casey,Greater Metro,-38.00591,145.31665
126,13516,Archibald Avenue,Archibald Ave/Kurrajong Rd (Narre Warren),Kerbside,Narre Warren,3805.0,Melbourne,Casey,Greater Metro,-38.00904,145.316043
127,13517,Kallara Crescent,Kallara Cres/Kurrajong Rd (Narre Warren),Kerbside,Narre Warren,3805.0,Melbourne,Casey,Greater Metro,-38.012078,145.314547
129,13519,Song Street,Song St/Ryelands Dr (Narre Warren),Kerbside,Narre Warren,3805.0,Melbourne,Casey,Greater Metro,-38.014269,145.310524
130,13521,Bradley Terrace,Bradley Tce/Saxonwood Dr (Narre Warren),Kerbside,Narre Warren,3805.0,Melbourne,Casey,Greater Metro,-38.031906,145.30901599999999
135,13526,Fleetwood Primary School,Fleetwood PS/Fleetwood Dr (Narre Warren),Kerbside,Narre Warren,3805.0,Melbourne,Casey,Greater Metro,-38.039393,145.318883
136,13528,Rosemont Drive,Rosemont Dr/Fleetwood Dr (Narre Warren),Kerbside,Narre Warren,3805.0,Melbourne,Casey,Greater Metro,-38.039393,145.31350700000002
139,13533,Pound Road,Pound Rd/Narre Warren-Cranbourne Rd (Narre Warren South),Kerbside,Narre Warren South,3805.0,Melbourne,Casey,Greater Metro,-38.05265,145.30175
145,13539,Narre Warren Fire Station,Narre Warren Fire Station/Fullard Rd (Narre Warren),Bus Bay,Narre Warren,3805.0,Melbourne,Casey,Greater Metro,-38.031141999999996,145.304835
146,13540,Tingle Close,Tingle Cl/Saxonwood Dr (Narre Warren),Kerbside,Narre Warren,3805.0,Melbourne,Casey,Greater Metro,-38.032059000000004,145.309167
147,13541,Darling Way,Darling Way/Saxonwood Dr (Narre Warren),Kerbside,Narre Warren,3805.0,Melbourne,Casey,Greater Metro,-38.03338,145.313625
151,13545,Darling Way,Darling Way/Fleetwood Dr (Narre Warren),Kerbside,Narre Warren,3805.0,Melbourne,Casey,Greater Metro,-38.039264,145.318953
152,13547,Rosemont Drive,Rosemont Dr/Fleetwood Dr (Narre Warren),Kerbside,Narre Warren,3805.0,Melbourne,Casey,Greater Metro,-38.039248,145.313255
153,13548,Coonara Court,Coonara Ct/Fleetwood Dr (Narre Warren),Kerbside,Narre Warren,3805.0,Melbourne,Casey,Greater Metro,-38.038545,145.30966999999998
154,13549,Ireland Avenue,Ireland Ave/Fleetwood Dr (Narre Warren),Kerbside,Narre Warren,3805.0,Melbourne,Casey,Greater Metro,-38.03873,145.305295
155,13552,Pound Road,Pound Rd/Narre Warren-Cranbourne Rd (Narre Warren South),Bus Bay,Narre Warren South,3805.0,Melbourne,Casey,Greater Metro,-38.052853000000006,145.30143999999999
158,13555,Casey Central SC,Casey Central Shopping Centre/Narre Warren-Cranbourne Rd (Narre Warren South),Bus Bay,Narre Warren South,3805.0,Melbourne,Casey,Greater Metro,-38.064785,145.299068
159,13556,Hamilton Dr,Hamilton Dr/Narre Warren-Cranbourne Rd (Cranbourne North),Kerbside,Cranbourne North,3977.0,Melbourne,Casey,Greater Metro,-38.07946,145.296309
163,10677,Lancia Drive,Lancia Dr/Copernicus Way (Keilor Downs),Kerbside,Keilor Downs,3038.0,Melbourne,Brimbank,Greater Metro,-37.719721,144.798494
168,10682,Lady Nelson Way,Lady Nelson Way/Chichester Dr (Taylors Lakes),Kerbside,Taylors Lakes,3038.0,Melbourne,Brimbank,Greater Metro,-37.711725,144.793215
174,10795,Robertsons Road,64 Robertsons Rd (Taylors Lakes),Kerbside,Taylors Lakes,3038.0,Melbourne,Brimbank,Greater Metro,-37.68716,144.77765
175,10796,Carnarvon Close,Carnarvon Cl/Palmerston Cres (Taylors Lakes),Kerbside,Taylors Lakes,3038.0,Melbourne,Brimbank,Greater Metro,-37.685959999999994,144.78046
181,10802,Truro Crescent,Truro Cres/Verona Dr (Taylors Lakes),Kerbside,Taylors Lakes,3038.0,Melbourne,Brimbank,Greater Metro,-37.698840000000004,144.79721999999998
182,10803,Taylors Lakes SC,Taylors Lakes Shopping Centre/Melton Hwy (Taylors Lakes),Bus Bay,Taylors Lakes,3038.0,Melbourne,Brimbank,Greater Metro,-37.701774,144.800552
186,10808,Keilor Downs Secondary College,Keilor Downs Secondary College/Odessa Ave (Keilor Downs),Kerbside,Keilor Downs,3038.0,Melbourne,Brimbank,Greater Metro,-37.715532,144.810528
190,10812,Dongola Road,Dongola Rd/Sunshine Ave (Keilor Downs),Bus Bay,Keilor Downs,3038.0,Melbourne,Brimbank,Greater Metro,-37.726602,144.812396
191,10813,Joan Court,Green Gully Rd/Sunshine Ave (St Albans),Bus Bay,St Albans,3021.0,Melbourne,Brimbank,Greater Metro,-37.730567,144.815954
193,10815,Norman Street,Norman St/Sunshine Ave (St Albans),Kerbside,St Albans,3021.0,Melbourne,Brimbank,Greater Metro,-37.735087,144.819773
197,10819,Sunshine Avenue,73 Sunshine Ave (St Albans),Bus Bay,St Albans,3021.0,Melbourne,Brimbank,Greater Metro,-37.74517,144.828281
243,40260,Skye Road,Skye Rd/Dalpura Cct (Frankston),Kerbside,Frankston,3199.0,Melbourne,Frankston,Greater Metro,-38.138018,145.163232
246,40396,Frankston Station,Frankston Station/Young St (Frankston),Bus Bay,Frankston,3199.0,Melbourne,Frankston,Greater Metro,-38.1427,145.1258
247,40401,Playne Street,Playne St/Young St (Frankston),Kerbside,Frankston,3199.0,Melbourne,Frankston,Greater Metro,-38.144878000000006,145.123653
248,40404,Lehmann Crescent,Lehmann Cres/Forest Dr (Frankston North),Kerbside,Frankston North,3200.0,Melbourne,Frankston,Greater Metro,-38.124243,145.15073999999998
249,40405,Ebdale Street,Ebdale St/Dandenong Rd (Frankston),Kerbside,Frankston,3199.0,Melbourne,Frankston,Greater Metro,-38.137663,145.128246
250,40406,Cricklewood Avenue,Cricklewood Ave/Dandenong Rd East (Frankston),Kerbside,Frankston,3199.0,Melbourne,Frankston,Greater Metro,-38.136562,145.129198
251,40407,Cricklewood Ave,Cricklewood Ave/Dandenong Rd East (Frankston),Kerbside,Frankston,3199.0,Melbourne,Frankston,Greater Metro,-38.136225,145.129214
256,40412,Walbundry Avenue,Walbundry Ave/Frankston - Dandenong Rd (Frankston),Kerbside,Frankston,3199.0,Melbourne,Frankston,Greater Metro,-38.127932,145.134843
258,40414,Protea Street,Protea St/Cadles Rd (Carrum Downs),Kerbside,Carrum Downs,3201.0,Melbourne,Frankston,Greater Metro,-38.09856,145.184832
261,40417,Luscombe Avenue,Luscombe Ave/Cadles Rd (Carrum Downs),Kerbside,Carrum Downs,3201.0,Melbourne,Frankston,Greater Metro,-38.095577,145.18716799999999
271,40427,McCormicks Rd,McCormicks Rd/Wedge Rd (Carrum Downs),Kerbside,Carrum Downs,3201.0,Melbourne,Frankston,Greater Metro,-38.087828,145.19913200000002
272,40428,St Johns Wood,St Johns Wood/Mccormicks Rd (Carrum Downs),Kerbside,Carrum Downs,3201.0,Melbourne,Frankston,Greater Metro,-38.092586,145.199011
274,41843,Carrum Downs SC,Carrum Downs SC/Hall Rd (Carrum Downs),Kerbside,Carrum Downs,3201.0,Melbourne,Frankston,Greater Metro,-38.101684999999996,145.18368600000002
285,15956,South Road,South Rd/East Boundary Rd (Bentleigh East),Kerbside,Bentleigh East,3165.0,Melbourne,Glen Eira,Greater Metro,-37.935003,145.056095
287,15959,Purtell Street,Bentleigh Secondary College/East Boundary Rd (Bentleigh East),Kerbside,Bentleigh East,3165.0,Melbourne,Glen Eira,Greater Metro,-37.926689,145.057721
289,15961,East Boundary Rd,East Boundary Rd/Centre Rd (Bentleigh East),Kerbside,Bentleigh East,3165.0,Melbourne,Glen Eira,Greater Metro,-37.921193,145.05988
296,15968,Blenheim Street,Blenheim St/Marlborough St (Bentleigh East),Kerbside,Bentleigh East,3165.0,Melbourne,Glen Eira,Greater Metro,-37.909351,145.06853
299,15971,Duncan MacKinnon Reserve,Duncan MacKinnon Reserve/Crosbie Rd (Murrumbeena),Kerbside,Murrumbeena,3163.0,Melbourne,Glen Eira,Greater Metro,-37.903871,145.064751
300,15972,St Patricks Primary School,St Patricks Primary School/Murrumbeena Rd (Murrumbeena),Kerbside,Murrumbeena,3163.0,Melbourne,Glen Eira,Greater Metro,-37.902101,145.064123
302,15974,Hethersett Grove,Hethersett Gr/Murrumbeena Rd (Murrumbeena),Kerbside,Murrumbeena,3163.0,Melbourne,Glen Eira,Greater Metro,-37.895825,145.065301
305,15977,Blackwood Street,Blackwood St/Murrumbeena Rd (Murrumbeena),Kerbside,Murrumbeena,3163.0,Melbourne,Glen Eira,Greater Metro,-37.887060999999996,145.066944
309,16212,Veronica St,Veronica St/Centre Rd (Bentleigh East),Kerbside,Bentleigh East,3165.0,Melbourne,Glen Eira,Greater Metro,-37.923390999999995,145.076473
310,16213,Mackie Rd,Mackie Rd/Centre Rd (Bentleigh East),Kerbside,Bentleigh East,3165.0,Melbourne,Glen Eira,Greater Metro,-37.922917,145.072556
311,16214,Dover St,Opp 903 Centre Rd (Bentleigh East),Kerbside,Bentleigh East,3165.0,Melbourne,Glen Eira,Greater Metro,-37.922604,145.07003999999998
314,16398,Hawthorn Road,Hawthorn Rd/Aileen Ave (Caulfield South),Kerbside,Caulfield South,3162.0,Melbourne,Glen Eira,Greater Metro,-37.89447,145.02026999999998
318,16402,Bambra Road,Bambra Rd/Marara Rd (Caulfield South),Kerbside,Caulfield South,3162.0,Melbourne,Glen Eira,Greater Metro,-37.896093,145.027948
360,19492,Queensberry Street - Stop 4,4-Queensberry St/Swanston St (Carlton),Platform,Carlton,3053.0,Melbourne,Melbourne,Greater Metro,-37.805631,144.963106
361,19494,RMIT University - Stop 7,7-RMIT University/Swanston St (Melbourne City),Platform,Melbourne City,3000.0,Melbourne,Melbourne,Greater Metro,-37.808383,144.963328
362,19495,Melbourne Central Station - Stop 8,8-Melbourne Central Station/Swanston St (Melbourne City),Platform,Melbourne City,3000.0,Melbourne,Melbourne,Greater Metro,-37.81045,144.964267
363,19497,Bourke Street Mall - Stop 10,10-Bourke Street Mall/Swanston St (Melbourne City),Platform,Melbourne City,3000.0,Melbourne,Melbourne,Greater Metro,-37.813396999999995,144.965608
364,19498,City Square  - Stop 11,11-City Square/Swanston St (Melbourne City),Platform,Melbourne City,3000.0,Melbourne,Melbourne,Greater Metro,-37.816375,144.967019
365,19499,Flinders Street Station - Stop 13,13-Federation Square/Swanston St (Melbourne City),Platform,Melbourne City,3000.0,Melbourne,Melbourne,Greater Metro,-37.81852,144.96799199999998
366,19500,Arts Precinct - Stop 14,14-Arts Centre/St Kilda Rd (Southbank),Platform,Southbank,3006.0,Melbourne,Melbourne,Greater Metro,-37.82197,144.96955
367,19502,Grant Street - Stop 17,17-Grant St/St Kilda Rd (Southbank),Safety Zone,Southbank,3006.0,Melbourne,Melbourne,Greater Metro,-37.824695,144.97083500000002
369,19504,Shrine of Remembrance - Stop 19,19-Shrine of Remembrance/St Kilda Rd (Melbourne City),Safety Zone,Melbourne City,3000.0,Melbourne,Melbourne,Greater Metro,-37.828827000000004,144.971377
370,19505,Domain Interchange - Stop 20,20-Domain Interchange/St Kilda Rd (Melbourne City),Platform,Melbourne City,3000.0,Melbourne,Melbourne,Greater Metro,-37.832618,144.97214499999998
371,19507,Jeffcott Street,Melbourne Remand Centre/Spencer St (West Melbourne),Kerbside,West Melbourne,3003.0,Melbourne,Melbourne,Greater Metro,-37.811887,144.950994
373,19509,Dudley Street,Dudley St/Spencer St (West Melbourne),Kerbside,West Melbourne,3003.0,Melbourne,Melbourne,Greater Metro,-37.810419,144.950068
374,19510,Jeffcott Street,Jeffcott St/Spencer St (West Melbourne),Kerbside,West Melbourne,3003.0,Melbourne,Melbourne,Greater Metro,-37.812599,144.951065
376,19513,Spencer Street,Spencer St/Dudley St (West Melbourne),Kerbside,West Melbourne,3003.0,Melbourne,Melbourne,Greater Metro,-37.809994,144.950592
378,19515,William Street,William St/Dudley St (West Melbourne),Kerbside,West Melbourne,3003.0,Melbourne,Melbourne,Greater Metro,-37.8087,144.95463
379,19519,Banana Alley Vaults,Banana Alley Vaults/Flinders St (Melbourne City),Kerbside,Melbourne City,3000.0,Melbourne,Melbourne,Greater Metro,-37.81916,144.96194
380,19520,Spencer Street,Spencer St/Flinders St (Melbourne City),Kerbside,Melbourne City,3000.0,Melbourne,Melbourne,Greater Metro,-37.821507000000004,144.954221
381,19522,Market St,Market St/Flinders St (Melbourne City),Kerbside,Melbourne City,3000.0,Melbourne,Melbourne,Greater Metro,-37.81908,144.96161999999998
383,19527,Little Lonsdale Street,Little Lonsdale St/Russell St (Melbourne City),Kerbside,Melbourne City,3000.0,Melbourne,Melbourne,Greater Metro,-37.810002000000004,144.966695
384,19528,Toorak Road - Stop 22,22-Toorak Rd/St Kilda Rd (Melbourne City),Safety Zone,Melbourne City,3000.0,Melbourne,Melbourne,Greater Metro,-37.835937,144.975381
387,19539,Slater Street - Stop 23,23-Arthur St/St Kilda Rd (Melbourne City),Safety Zone,Melbourne City,3000.0,Melbourne,Melbourne,Greater Metro,-37.838855,144.976568
388,19540,Little Lonsdale St,Little Lonsdale St/Exhibition St (Melbourne City),Kerbside,Melbourne City,3000.0,Melbourne,Melbourne,Greater Metro,-37.809014000000005,144.96905900000002
389,19541,Spring St,Spring St/Lonsdale St (Melbourne City),Kerbside,Melbourne City,3000.0,Melbourne,Melbourne,Greater Metro,-37.809722,144.971325
390,19542,Exhibition St,Exhibition St/Lonsdale St (Melbourne City),Kerbside,Melbourne City,3000.0,Melbourne,Melbourne,Greater Metro,-37.81044,144.968858
391,19545,Melbourne Central,Melbourne Central/Lonsdale St (Melbourne City),Kerbside,Melbourne City,3000.0,Melbourne,Melbourne,Greater Metro,-37.811564000000004,144.96502900000002
392,19546,Supreme Court,Supreme Court/Lonsdale St (Melbourne City),Kerbside,Melbourne City,3000.0,Melbourne,Melbourne,Greater Metro,-37.813897,144.957024
393,19547,Lonsdale St,Lonsdale St/Spencer St (Melbourne City),Kerbside,Melbourne City,3000.0,Melbourne,Melbourne,Greater Metro,-37.814809999999994,144.95209499999999
394,19548,Spencer Street,Spencer St/Lonsdale St (Melbourne City),Kerbside,Melbourne City,3000.0,Melbourne,Melbourne,Greater Metro,-37.81501,144.9527
395,19549,King St,King St/Lonsdale St (Melbourne City),Kerbside,Melbourne City,3000.0,Melbourne,Melbourne,Greater Metro,-37.814401000000004,144.95450400000001
396,19550,County Court,County Court/Lonsdale St (Melbourne City),Kerbside,Melbourne City,3000.0,Melbourne,Melbourne,Greater Metro,-37.813454,144.957872
397,19551,Hardware St,Hardware Lane/Lonsdale St (Melbourne City),Kerbside,Melbourne City,3000.0,Melbourne,Melbourne,Greater Metro,-37.812634,144.960674
398,19554,Swanston St,Swanston St/Lonsdale St (Melbourne City),Kerbside,Melbourne City,3000.0,Melbourne,Melbourne,Greater Metro,-37.81131,144.965278
399,19555,Swanston St,Tattersalls Lane/Lonsdale St (Melbourne City),Kerbside,Melbourne City,3000.0,Melbourne,Melbourne,Greater Metro,-37.81133,144.965206
407,47171,Eumarella St,Eumarella St/Sharps Rd (Tullamarine),Kerbside,Tullamarine,3043.0,Melbourne,Hume,Greater Metro,-37.70807,144.87712
439,47203,Kolbe College,Kolbe College/Lysterfield Dr (Greenvale),Kerbside,Greenvale,3059.0,Hume,Hume,Greater Metro,-37.615055,144.90865
440,40924,Bishop Street,Bishop St/Gaffney St (Coburg North),Kerbside,Coburg North,3058.0,Melbourne,Moreland,Greater Metro,-37.732744,144.951301
483,6157,Bradman Boulevard,Bradman Bvd/Milleara Rd (Keilor East),Bus Bay,Keilor East,3033.0,Melbourne,Moonee Valley,Greater Metro,-37.737544,144.864124
488,6163,Quinn Gr,Quinn Gr/Buckley St (Avondale Heights),Kerbside,Avondale Heights,3034.0,Melbourne,Moonee Valley,Greater Metro,-37.751329999999996,144.866082
493,6168,Bourke St,Bourke St/Buckley St (Essendon West),Kerbside,Essendon West,3040.0,Melbourne,Moonee Valley,Greater Metro,-37.75359,144.886054
503,6233,Fawkner St,Fawkner St/Buckley St (Aberfeldie),Kerbside,Aberfeldie,3040.0,Melbourne,Moonee Valley,Greater Metro,-37.754639000000005,144.895602
504,6234,Vida St,Vida St/Buckley St (Aberfeldie),Kerbside,Aberfeldie,3040.0,Melbourne,Moonee Valley,Greater Metro,-37.755043,144.89911999999998
506,6236,Combermere St,Combermere St/Buckley St (Aberfeldie),Kerbside,Aberfeldie,3040.0,Melbourne,Moonee Valley,Greater Metro,-37.755731,144.904823
509,6239,St Columba's College,St Columba's College/Buckley St (Essendon),Kerbside,Essendon,3040.0,Melbourne,Moonee Valley,Greater Metro,-37.756823,144.914534
516,6247,Alma Street,Alma St/Waverley St (Essendon),Kerbside,Essendon,3040.0,Melbourne,Moonee Valley,Greater Metro,-37.758192,144.906802
530,16751,Tooronga Road - Stop 48,48-Tooronga Rd/High St (Glen Iris),Kerbside,Glen Iris,3146.0,Melbourne,Boroondara,Greater Metro,-37.858077,145.041048
531,16752,Harold Holt Swim Centre - Stop 49,49-Harold Holt Swim Centre/High St (Glen Iris),Kerbside,Glen Iris,3146.0,Melbourne,Boroondara,Greater Metro,-37.858457,145.044194
535,16757,Glen Iris - Stop 53,53-Malvern Rd/High St (Glen Iris),Platform,Glen Iris,3146.0,Melbourne,Boroondara,Greater Metro,-37.860042,145.05658400000002
536,16758,Boyanda Road - Stop 52,52-Boyanda Rd/High St (Glen Iris),Kerbside,Glen Iris,3146.0,Melbourne,Boroondara,Greater Metro,-37.85978,145.05418400000002
537,16759,Burke Road - Stop 51,51-Burke Rd/High St (Glen Iris),Kerbside,Glen Iris,3146.0,Melbourne,Boroondara,Greater Metro,-37.859483000000004,145.051501
539,16761,Harold Holt Swim Centre - Stop 49,49-Harold Holt Swim Centre/High St (Glen Iris),Kerbside,Glen Iris,3146.0,Melbourne,Boroondara,Greater Metro,-37.858669,145.044703
540,16762,Tooronga Road - Stop 48,48-Tooronga Rd/High St (Glen Iris),Kerbside,Glen Iris,3146.0,Melbourne,Boroondara,Greater Metro,-37.858274,145.041356
541,16842,Yarra Bend Road,Yarra Bend Rd/Heidelberg Rd (Fairfield),Kerbside,Fairfield,3078.0,Melbourne,Darebin,Greater Metro,-37.783974,145.008488
545,16846,Grange Road,Grange Rd/Heidelberg Rd (Alphington),Bus Bay,Alphington,3078.0,Melbourne,Darebin,Greater Metro,-37.7821,145.024314
548,16849,Como Street,Como St/Heidelberg Rd (Alphington),Bus Bay,Alphington,3078.0,Melbourne,Darebin,Greater Metro,-37.780308000000005,145.03366
553,16855,Cotham Road,Cotham Rd/Normanby Rd (Kew),Kerbside,Kew,3101.0,Melbourne,Boroondara,Greater Metro,-37.80937,145.05364
558,16860,Harcourt Street,Harcourt St/Auburn Rd (Hawthorn East),Kerbside,Hawthorn East,3123.0,Melbourne,Boroondara,Greater Metro,-37.818102,145.045922
678,14168,King St,King St/Stud Rd (Dandenong),Kerbside,Dandenong,3175.0,Melbourne,Greater Dandenong,Greater Metro,-37.98318,145.22121299999998
679,14169,Herbert St,Herbert St/Stud Rd (Dandenong),Kerbside,Dandenong,3175.0,Melbourne,Greater Dandenong,Greater Metro,-37.981025,145.22162
680,14170,Bruce St,Bruce St/Stud Rd (Dandenong),Kerbside,Dandenong,3175.0,Melbourne,Greater Dandenong,Greater Metro,-37.978868,145.222022
681,14226,King St,King St/Stud Rd (Dandenong),Kerbside,Dandenong,3175.0,Melbourne,Greater Dandenong,Greater Metro,-37.984586,145.220784
684,14229,Chisholm TAFE Dandenong,Chisholm TAFE Dandenong/Stud Rd (Dandenong),Kerbside,Dandenong,3175.0,Melbourne,Greater Dandenong,Greater Metro,-37.974738,145.222644
688,15561,Hurlstone Cres,Hurlstone Cres/Centenary Dr (Mill Park),Kerbside,Mill Park,3082.0,Melbourne,Whittlesea,Greater Metro,-37.65787,145.07145
690,15563,Plenty Rd,Plenty Rd/Development Bvd (Mill Park),Kerbside,Mill Park,3082.0,Melbourne,Whittlesea,Greater Metro,-37.65716,145.08076
691,15564,University Dr,University Dr/Development Bvd (Mill Park),Kerbside,Mill Park,3082.0,Melbourne,Whittlesea,Greater Metro,-37.66128,145.08235
694,15567,Telopea Cres,Plenty Parklands PS/Blossom Park Dr (Mill Park),Kerbside,Mill Park,3082.0,Melbourne,Whittlesea,Greater Metro,-37.669774,145.07781799999998
696,15570,Betula Park,Betula Park/Betula Ave (Mill Park),Kerbside,Mill Park,3082.0,Melbourne,Whittlesea,Greater Metro,-37.670844,145.059826
703,16523,Springvale RSL,Springvale RSL/Osborne Ave (Springvale),Kerbside,Springvale,3171.0,Melbourne,Greater Dandenong,Greater Metro,-37.946587,145.145182
704,16653,Civic Dr,Civic Dr/McDonalds Rd (Epping),Kerbside,Epping,3076.0,Melbourne,Whittlesea,Greater Metro,-37.648806,145.06536200000002
705,16654,Gibbons Dr,Gibbons Dr/McDonalds Rd (Epping),Kerbside,Epping,3076.0,Melbourne,Whittlesea,Greater Metro,-37.648138,145.059655
707,16656,McDonalds Rd,McDonalds Rd/Davisson St (Epping),Kerbside,Epping,3076.0,Melbourne,Whittlesea,Greater Metro,-37.645684,145.030576
708,16657,Yale Dr,Yale Dr/Cooper St (Epping),Bus Bay,Epping,3076.0,Melbourne,Whittlesea,Greater Metro,-37.650584,145.009409
710,17272,Civic Dr,Civic Dr/McDonalds Rd (Epping),Kerbside,Epping,3076.0,Melbourne,Whittlesea,Greater Metro,-37.648519,145.06452099999998
