,hour,stop_ID,card_id,StopLocationID,StopNameShort,StopNameLong,StopType,SuburbName,PostCode,RegionName,LocalGovernmentArea,StatDivision,GPSLat,GPSLong
22,0,19499,1,19499.0,Flinders Street Station - Stop 13,13-Federation Square/Swanston St (Melbourne City),Platform,Melbourne City,3000.0,Melbourne,Melbourne,Greater Metro,-37.81852,144.96799199999998
23,0,19500,1,19500.0,Arts Precinct - Stop 14,14-Arts Centre/St Kilda Rd (Southbank),Platform,Southbank,3006.0,Melbourne,Melbourne,Greater Metro,-37.82197,144.96955
24,0,19554,1,19554.0,Swanston St,Swanston St/Lonsdale St (Melbourne City),Kerbside,Melbourne City,3000.0,Melbourne,Melbourne,Greater Metro,-37.81131,144.965278
25,0,19561,1,19561.0,Commercial Road - Stop 25,25-Commercial Rd/St Kilda Rd (South Melbourne),Platform,South Melbourne,3205.0,Melbourne,Port Phillip,Greater Metro,-37.844524,144.978632
26,0,19676,1,19676.0,Toorak Road - Stop 22,22-Toorak Rd/St Kilda Rd (Melbourne City),Safety Zone,Melbourne City,3000.0,Melbourne,Melbourne,Greater Metro,-37.835475,144.97503400000002
27,0,19686,1,19686.0,City Square - Stop 11,11-City Square/Swanston St (Melbourne City),Platform,Melbourne City,3000.0,Melbourne,Melbourne,Greater Metro,-37.815733,144.966567
28,0,19725,1,19725.0,Port Melbourne - Stop 129,129-Beacon Cove/Light Rail (Port Melbourne),Platform,Port Melbourne,3207.0,Melbourne,Melbourne,Greater Metro,-37.840762,144.932881
29,0,19732,1,19732.0,North Richmond Station - Stop 19,19-North Richmond Railway Station/Victoria St (Richmond),Platform,Richmond,3121.0,Melbourne,Yarra,Greater Metro,-37.80984,144.992903
30,0,19840,1,19840.0,Jordanville,Jordanville Railway Station (Mount Waverley),Platform,Mount Waverley,3149.0,Melbourne,Monash,Greater Metro,-37.873599,145.112089
31,0,19846,1,19846.0,Upwey,Upwey Railway Station (Upwey),Platform,Upwey,3158.0,Melbourne,Yarra Ranges,Greater Metro,-37.903692,145.331335
32,0,19853,1,19853.0,Camberwell,Camberwell Railway Station (Camberwell),Platform,Camberwell,3124.0,Melbourne,Boroondara,Greater Metro,-37.826564000000005,145.05869199999998
33,0,19883,1,19883.0,Berwick,Berwick Railway Station (Berwick),Platform,Berwick,3806.0,Melbourne,Casey,Greater Metro,-38.040409999999994,145.345721
34,0,19890,1,19890.0,Noble Park,Noble Park Railway Station (Noble Park),Platform,Noble Park,3174.0,Melbourne,Greater Dandenong,Greater Metro,-37.967236,145.176936
35,0,19901,1,19901.0,Heatherdale,Heatherdale Railway Station (Mitcham),Platform,Mitcham,3132.0,Melbourne,Whitehorse,Greater Metro,-37.818896,145.212785
36,0,19902,1,19902.0,Ringwood,Ringwood Railway Station (Ringwood),Platform,Ringwood,3134.0,Melbourne,Maroondah,Greater Metro,-37.81589,145.22897
37,0,19904,2,19904.0,Glenferrie,Glenferrie Railway Station (Hawthorn),Platform,Hawthorn,3122.0,Melbourne,Boroondara,Greater Metro,-37.821466,145.03643799999998
38,0,19914,1,19914.0,Westall,Westall Railway Station (Clayton South),Platform,Clayton South,3169.0,Melbourne,Kingston,Greater Metro,-37.938492,145.138834
39,0,19916,2,19916.0,Huntingdale,Huntingdale Railway Station (Oakleigh),Platform,Oakleigh,3166.0,Melbourne,Monash,Greater Metro,-37.911017,145.102364
40,0,19917,2,19917.0,Oakleigh,Oakleigh Railway Station (Oakleigh),Platform,Oakleigh,3166.0,Melbourne,Monash,Greater Metro,-37.900368,145.088313
41,0,19929,1,19929.0,Dennis ,Dennis Railway Station (Northcote),Platform,Northcote,3070.0,Melbourne,Darebin,Greater Metro,-37.779183,145.00824
42,0,19937,1,19937.0,Moorabbin,Moorabbin Railway Station (Moorabbin),Platform,Moorabbin,3189.0,Melbourne,Kingston,Greater Metro,-37.934349,145.03673899999998
43,0,19943,4,19943.0,Caulfield,Caulfield Railway Station (Caulfield East),Platform,Caulfield East,3145.0,Melbourne,Glen Eira,Greater Metro,-37.877457,145.042522
44,0,19946,1,19946.0,Toorak,Toorak Railway Station (Armadale),Platform,Armadale,3143.0,Melbourne,Stonnington,Greater Metro,-37.850770000000004,145.01390700000002
45,0,19948,1,19948.0,Sandringham,Sandringham Railway Station (Sandringham),Platform,Sandringham,3191.0,Melbourne,Bayside,Greater Metro,-37.950328000000006,145.00456599999998
46,0,19951,1,19951.0,Middle Brighton,Middle Brighton Railway Station (Brighton),Platform,Brighton,3186.0,Melbourne,Bayside,Greater Metro,-37.915135,144.996298
47,0,19953,1,19953.0,Gardenvale,Gardenvale Railway Station (Brighton),Platform,Brighton,3186.0,Melbourne,Bayside,Greater Metro,-37.896693,145.004165
48,0,19954,1,19954.0,Elsternwick,Elsternwick Railway Station (Elsternwick),Platform,Elsternwick,3185.0,Melbourne,Glen Eira,Greater Metro,-37.884752,145.000902
49,0,19956,1,19956.0,Balaclava,Balaclava Railway Station (Balaclava),Platform,Balaclava,3183.0,Melbourne,Port Phillip,Greater Metro,-37.869486,144.99351399999998
50,0,19957,4,19957.0,Windsor,Windsor Railway Station (Windsor),Platform,Windsor,3181.0,Melbourne,Stonnington,Greater Metro,-37.856051,144.99203300000002
51,0,19959,4,19959.0,South Yarra,South Yarra Railway Station (South Yarra),Platform,South Yarra,3141.0,Melbourne,Stonnington,Greater Metro,-37.838445,144.99234099999998
52,0,19974,1,19974.0,Clifton Hill,Clifton Hill Railway Station (Clifton Hill),Platform,Clifton Hill,3068.0,Melbourne,Yarra,Greater Metro,-37.788654,144.995417
53,0,19978,1,19978.0,West Richmond,West Richmond Railway Station (Richmond),Platform,Richmond,3121.0,Melbourne,Yarra,Greater Metro,-37.814945,144.99141799999998
54,0,19985,1,19985.0,Greensborough,Greensborough Railway Station (Greensborough),Platform,Greensborough,3088.0,Melbourne,Banyule,Greater Metro,-37.70395,145.108249
55,0,19996,1,19996.0,Yarraville,Yarraville Railway Station (Yarraville),Platform,Yarraville,3013.0,Melbourne,Maribyrnong,Greater Metro,-37.815849,144.889934
56,0,20015,1,20015.0,Croxton,Croxton Railway Station (Northcote),Platform,Northcote,3070.0,Melbourne,Darebin,Greater Metro,-37.764098,144.997057
57,0,20021,1,20021.0,Sunshine Station,Sunshine Railway Station (Sunshine),Platform,Sunshine,3020.0,Melbourne,Brimbank,Greater Metro,-37.788534999999996,144.83288000000002
58,0,20022,1,20022.0,Tottenham,Tottenham Railway Station (West Footscray),Platform,West Footscray,3012.0,Melbourne,Maribyrnong,Greater Metro,-37.799255,144.862948
59,0,20025,2,20025.0,Footscray,Footscray Railway Station (Footscray),Platform,Footscray,3011.0,Melbourne,Maribyrnong,Greater Metro,-37.801085,144.90319399999998
60,0,20039,1,20039.0,Ascot Vale,Ascot Vale Railway Station (Ascot Vale),Platform,Ascot Vale,3032.0,Melbourne,Moonee Valley,Greater Metro,-37.77531,144.921825
61,0,20042,1,20042.0,Box Hill,Box Hill Railway Station (Box Hill),Platform,Box Hill,3128.0,Melbourne,Whitehorse,Greater Metro,-37.819219,145.121427
62,0,20522,1,20522.0,Barkly Street - Stop 140,140-Barkly St/Acland St (St Kilda),Kerbside,St Kilda,3182.0,Melbourne,Port Phillip,Greater Metro,-37.8693,144.98035
63,0,20551,1,20551.0,Kooyong Station - Stop 65,65-Kooyong Railway Station/Glenferrie Rd (Kooyong),Kerbside,Kooyong,3144.0,Melbourne,Stonnington,Greater Metro,-37.839311,145.03234799999998
64,0,20593,1,20593.0,Wellington Street - Stop 79,79-Wellington St/Glenferrie Rd (Hawthorn),Kerbside,Hawthorn,3122.0,Melbourne,Boroondara,Greater Metro,-37.810089000000005,145.037633
65,0,20970,1,20970.0,Werribee Station,Werribee Railway Station/Manly St (Werribee),Bus Bay,Werribee,3030.0,Melbourne,Wyndham,Greater Metro,-37.898775,144.66043
66,0,21227,1,21227.0,Cranbourne Station,Cranbourne Station/Station St (Cranbourne),Bus Bay,Cranbourne,3977.0,Melbourne,Casey,Greater Metro,-38.100225,145.281148
110,0,41082,1,41082.0,St Pauls Cathedral,St Pauls Cathedral/Flinders St (Melbourne City),Kerbside,Melbourne City,3000.0,Melbourne,Melbourne,Greater Metro,-37.817132,144.968435
111,0,43717,1,43717.0,Elizabeth St,Elizabeth St/Lonsdale St (Melbourne City),Kerbside,Melbourne City,3000.0,Melbourne,Melbourne,Greater Metro,-37.812511,144.96178899999998
112,0,46437,1,46437.0,Domain Interchange - Stop 20,20-Domain Interchange/St Kilda Rd (Melbourne City),Platform,Melbourne City,3000.0,Melbourne,Melbourne,Greater Metro,-37.83258,144.97189
113,0,46697,1,46697.0,Williams Landing Station,Williams Landing Station (Williams Landing),Bus Bay,Williams Landing,3027.0,Melbourne,Wyndham,Greater Metro,-37.869766,144.74705
121,1,17851,1,17851.0,Collins Street - Stop 2,2-Collins St/Elizabeth St (Melbourne City),Platform,Melbourne City,3000.0,Melbourne,Melbourne,Greater Metro,-37.815381,144.963602
122,1,17911,1,17911.0,Town Hall - Stop 6,6-Melbourne Town Hall/Collins St (Melbourne City),Platform,Melbourne City,3000.0,Melbourne,Melbourne,Greater Metro,-37.815558,144.96606599999998
123,1,18185,1,18185.0,Casino/MCEC - Stop 124A,124A-Casino/MCEC/Clarendon St (Southbank),Platform,Southbank,3006.0,Melbourne,Melbourne,Greater Metro,-37.82329,144.95606
124,1,18622,1,18622.0,Brighton Road Terminus - Stop 36,36-Brighton Rd/Chapel St (St Kilda),Kerbside,St Kilda,3182.0,Melbourne,Port Phillip,Greater Metro,-37.871089000000005,144.989774
125,1,19338,1,19338.0,Glenferrie Road - Stop 139,139-Glenferrie Rd/Toorak Rd (Toorak),Platform,Toorak,3142.0,Melbourne,Stonnington,Greater Metro,-37.843746,145.03110700000002
126,1,19386,1,19386.0,Victoria Gardens - Stop 24,24-Burnley St/Victoria St (Richmond),Platform,Richmond,3121.0,Melbourne,Yarra,Greater Metro,-37.811358,145.01039
127,1,19499,1,19499.0,Flinders Street Station - Stop 13,13-Federation Square/Swanston St (Melbourne City),Platform,Melbourne City,3000.0,Melbourne,Melbourne,Greater Metro,-37.81852,144.96799199999998
128,1,19566,1,19566.0,St Kilda Junction - Stop 30,30-St Kilda Junction/St Kilda Rd (St Kilda),Safety Zone,St Kilda,3182.0,Melbourne,Port Phillip,Greater Metro,-37.855028000000004,144.982324
129,1,19689,1,19689.0,Melbourne Central Station - Stop 8,8-Melbourne Central Station/Swanston St (Melbourne City),Platform,Melbourne City,3000.0,Melbourne,Melbourne,Greater Metro,-37.809875,144.963933
130,1,19696,1,19696.0,Melbourne University - Stop 1,1-Melbourne University/Swanston St (Carlton),Platform,Carlton,3053.0,Melbourne,Melbourne,Greater Metro,-37.798615999999996,144.96424199999998
131,1,19728,1,19728.0,Smith Street - Stop 15,15-Smith St/Victoria Pde (East Melbourne),Platform,East Melbourne,3002.0,Melbourne,Melbourne,Greater Metro,-37.808975,144.982691
132,1,19837,1,19837.0,Darling,Darling Railway Station (Malvern East),Platform,Malvern East,3145.0,Melbourne,Stonnington,Greater Metro,-37.868956,145.06294599999998
133,1,19865,1,19865.0,Mentone,Mentone Railway Station (Mentone),Platform,Mentone,3194.0,Melbourne,Kingston,Greater Metro,-37.981865,145.065171
134,1,19868,1,19868.0,Ferntree Gully,Ferntree Gully Railway Station (Ferntree Gully),Platform,Ferntree Gully,3156.0,Melbourne,Knox,Greater Metro,-37.881696999999996,145.295254
135,1,19878,1,19878.0,Croydon,Croydon Railway Station (Croydon),Platform,Croydon,3136.0,Melbourne,Maroondah,Greater Metro,-37.795441,145.280594
136,1,19902,1,19902.0,Ringwood,Ringwood Railway Station (Ringwood),Platform,Ringwood,3134.0,Melbourne,Maroondah,Greater Metro,-37.81589,145.22897
137,1,19904,1,19904.0,Glenferrie,Glenferrie Railway Station (Hawthorn),Platform,Hawthorn,3122.0,Melbourne,Boroondara,Greater Metro,-37.821466,145.03643799999998
138,1,19907,1,19907.0,East Richmond,East Richmond Railway Station (Richmond),Platform,Richmond,3121.0,Melbourne,Yarra,Greater Metro,-37.826403000000006,144.99706799999998
139,1,19917,1,19917.0,Oakleigh,Oakleigh Railway Station (Oakleigh),Platform,Oakleigh,3166.0,Melbourne,Monash,Greater Metro,-37.900368,145.088313
140,1,19919,1,19919.0,Murrumbeena,Murrumbeena (Temporarily Closed) Railway Station (Murrumbeena),Platform,Murrumbeena,3163.0,Melbourne,Glen Eira,Greater Metro,-37.890196,145.067378
141,1,19951,1,19951.0,Middle Brighton,Middle Brighton Railway Station (Brighton),Platform,Brighton,3186.0,Melbourne,Bayside,Greater Metro,-37.915135,144.996298
142,1,19957,1,19957.0,Windsor,Windsor Railway Station (Windsor),Platform,Windsor,3181.0,Melbourne,Stonnington,Greater Metro,-37.856051,144.99203300000002
143,1,19959,2,19959.0,South Yarra,South Yarra Railway Station (South Yarra),Platform,South Yarra,3141.0,Melbourne,Stonnington,Greater Metro,-37.838445,144.99234099999998
144,1,19975,2,19975.0,Victoria Park,Victoria Park Railway Station (Abbotsford),Platform,Abbotsford,3067.0,Melbourne,Yarra,Greater Metro,-37.799155,144.994447
145,1,19988,1,19988.0,Diamond Creek,Diamond Creek Railway Station (Diamond Creek),Platform,Diamond Creek,3089.0,Melbourne,Nillumbik,Greater Metro,-37.673293,145.158509
146,1,20015,1,20015.0,Croxton,Croxton Railway Station (Northcote),Platform,Northcote,3070.0,Melbourne,Darebin,Greater Metro,-37.764098,144.997057
147,1,20025,1,20025.0,Footscray,Footscray Railway Station (Footscray),Platform,Footscray,3011.0,Melbourne,Maribyrnong,Greater Metro,-37.801085,144.90319399999998
148,1,20031,1,20031.0,Jacana,Jacana Railway Station (Glenroy),Platform,Glenroy,3046.0,Melbourne,Moreland,Greater Metro,-37.695133,144.915855
171,2,17914,1,17914.0,Spring Street - Stop 8,8-Spring St/Collins St (Melbourne City),Platform,Melbourne City,3000.0,Melbourne,Melbourne,Greater Metro,-37.813428,144.973318
172,2,18054,1,18054.0,Docklands Park - Stop D4,D4-Docklands Park/Harbour Esp (Docklands),Platform,Docklands,3008.0,Melbourne,Melbourne,Greater Metro,-37.821349,144.947568
173,2,19725,1,19725.0,Port Melbourne - Stop 129,129-Beacon Cove/Light Rail (Port Melbourne),Platform,Port Melbourne,3207.0,Melbourne,Melbourne,Greater Metro,-37.840762,144.932881
174,2,19857,1,19857.0,Seaford,Seaford Railway Station (Seaford),Platform,Seaford,3198.0,Melbourne,Frankston,Greater Metro,-38.104017,145.128228
175,2,19904,1,19904.0,Glenferrie,Glenferrie Railway Station (Hawthorn),Platform,Hawthorn,3122.0,Melbourne,Boroondara,Greater Metro,-37.821466,145.03643799999998
176,2,19943,1,19943.0,Caulfield,Caulfield Railway Station (Caulfield East),Platform,Caulfield East,3145.0,Melbourne,Glen Eira,Greater Metro,-37.877457,145.042522
177,2,19958,3,19958.0,Prahran,Prahran Railway Station (Prahran),Platform,Prahran,3181.0,Melbourne,Stonnington,Greater Metro,-37.849515999999994,144.98986000000002
178,2,19959,2,19959.0,South Yarra,South Yarra Railway Station (South Yarra),Platform,South Yarra,3141.0,Melbourne,Stonnington,Greater Metro,-37.838445,144.99234099999998
179,2,20002,1,20002.0,St Albans,St Albans Railway Station (St Albans),Platform,St Albans,3021.0,Melbourne,Brimbank,Greater Metro,-37.744859000000005,144.80005500000001
180,2,20025,1,20025.0,Footscray,Footscray Railway Station (Footscray),Platform,Footscray,3011.0,Melbourne,Maribyrnong,Greater Metro,-37.801085,144.90319399999998
190,3,19857,1,19857.0,Seaford,Seaford Railway Station (Seaford),Platform,Seaford,3198.0,Melbourne,Frankston,Greater Metro,-38.104017,145.128228
191,3,19879,1,19879.0,Ringwood East,Ringwood East Railway Station (Ringwood East),Platform,Ringwood East,3135.0,Melbourne,Maroondah,Greater Metro,-37.811968,145.250193
192,3,19913,1,19913.0,Springvale,Springvale Railway Station (Springvale),Platform,Springvale,3171.0,Melbourne,Greater Dandenong,Greater Metro,-37.949512,145.153451
193,3,19923,1,19923.0,Laverton,Laverton Railway Station (Laverton),Platform,Laverton,3028.0,Melbourne,Hobsons Bay,Greater Metro,-37.863693,144.772615
194,3,19936,1,19936.0,Rosanna,Rosanna Railway Station (Rosanna),Platform,Rosanna,3084.0,Melbourne,Banyule,Greater Metro,-37.742875,145.06614
195,3,19946,1,19946.0,Toorak,Toorak Railway Station (Armadale),Platform,Armadale,3143.0,Melbourne,Stonnington,Greater Metro,-37.850770000000004,145.01390700000002
196,3,19947,1,19947.0,Hawksburn,Hawksburn Railway Station (South Yarra),Platform,South Yarra,3141.0,Melbourne,Stonnington,Greater Metro,-37.844594,145.002137
199,3,41082,1,41082.0,St Pauls Cathedral,St Pauls Cathedral/Flinders St (Melbourne City),Kerbside,Melbourne City,3000.0,Melbourne,Melbourne,Greater Metro,-37.817132,144.968435
201,3,47744,1,47744.0,Bond Street,Bond St/Flinders St (Melbourne City),Kerbside,Melbourne City,3000.0,Melbourne,Melbourne,Greater Metro,-37.818540999999996,144.963255
205,4,4496,1,4496.0,Preston Cemetery - Stop 59,59-Preston Cemetery/Plenty Rd (Kingsbury),Platform,Kingsbury,3083.0,Melbourne,Darebin,Greater Metro,-37.71904,145.03976
206,4,8249,1,8249.0,Vermont South Tram Terminus,Vermont South Tram Terminus/Burwood Hwy (Vermont South),Bus Bay,Vermont South,3133.0,Melbourne,Whitehorse,Greater Metro,-37.856355,145.18264299999998
207,4,9370,1,9370.0,Centre Rd,Centre Rd/Warrigal Rd (Bentleigh East),Bus Bay,Bentleigh East,3165.0,Melbourne,Glen Eira,Greater Metro,-37.923177,145.082518
208,4,19520,1,19520.0,Spencer Street,Spencer St/Flinders St (Melbourne City),Kerbside,Melbourne City,3000.0,Melbourne,Melbourne,Greater Metro,-37.821507000000004,144.954221
209,4,19637,1,19637.0,Knox City SC,Knox City Shopping Centre Interchange/Burwood Hwy (Wantirna South),Bus Bay,Wantirna South,3152.0,Melbourne,Knox,Greater Metro,-37.869315,145.23863500000002
210,4,19844,1,19844.0,Belgrave,Belgrave Railway Station (Belgrave),Platform,Belgrave,3160.0,Melbourne,Yarra Ranges,Greater Metro,-37.909099,145.355291
211,4,19855,6,19855.0,Frankston,Frankston Railway Station (Frankston),Platform,Frankston,3199.0,Melbourne,Frankston,Greater Metro,-38.142987,145.12616599999998
212,4,19857,2,19857.0,Seaford,Seaford Railway Station (Seaford),Platform,Seaford,3198.0,Melbourne,Frankston,Greater Metro,-38.104017,145.128228
213,4,19859,1,19859.0,Bonbeach,Bonbeach Railway Station (Bonbeach),Platform,Bonbeach,3196.0,Melbourne,Kingston,Greater Metro,-38.062945,145.119682
214,4,19861,1,19861.0,Edithvale,Edithvale Railway Station (Edithvale),Platform,Edithvale,3196.0,Melbourne,Kingston,Greater Metro,-38.038053999999995,145.10853899999998
215,4,19863,2,19863.0,Mordialloc,Mordialloc Railway Station (Mordialloc),Platform,Mordialloc,3195.0,Melbourne,Kingston,Greater Metro,-38.006586999999996,145.087656
216,4,19865,1,19865.0,Mentone,Mentone Railway Station (Mentone),Platform,Mentone,3194.0,Melbourne,Kingston,Greater Metro,-37.981865,145.065171
217,4,19866,3,19866.0,Cheltenham,Cheltenham Railway Station (Cheltenham),Platform,Cheltenham,3192.0,Melbourne,Kingston,Greater Metro,-37.966653,145.05455700000002
218,4,19869,1,19869.0,Boronia,Boronia Railway Station (Boronia),Platform,Boronia,3155.0,Melbourne,Knox,Greater Metro,-37.860453,145.284381
219,4,19875,1,19875.0,Mount Waverley,Mount Waverley Railway Station (Mount Waverley),Platform,Mount Waverley,3149.0,Melbourne,Monash,Greater Metro,-37.875251,145.128057
220,4,19877,2,19877.0,Mooroolbark,Mooroolbark Railway Station (Mooroolbark),Platform,Mooroolbark,3138.0,Melbourne,Yarra Ranges,Greater Metro,-37.784749,145.31240400000002
221,4,19882,1,19882.0,Beaconsfield,Beaconsfield Railway Station (Beaconsfield),Platform,Beaconsfield,3807.0,Melbourne,Cardinia,Greater Metro,-38.050828,145.36606899999998
222,4,19885,1,19885.0,Hallam,Hallam Railway Station (Hallam),Platform,Hallam,3803.0,Melbourne,Casey,Greater Metro,-38.017742999999996,145.269773
223,4,19886,3,19886.0,Cranbourne,Cranbourne Railway Station (Cranbourne),Platform,Cranbourne,3977.0,Melbourne,Casey,Greater Metro,-38.099540000000005,145.280595
224,4,19888,1,19888.0,Dandenong,Dandenong Railway Station (Dandenong),Platform,Dandenong,3175.0,Melbourne,Greater Dandenong,Greater Metro,-37.989968,145.209728
225,4,19890,1,19890.0,Noble Park,Noble Park Railway Station (Noble Park),Platform,Noble Park,3174.0,Melbourne,Greater Dandenong,Greater Metro,-37.967236,145.176936
226,4,19898,2,19898.0,Blackburn,Blackburn Railway Station (Blackburn),Platform,Blackburn,3130.0,Melbourne,Whitehorse,Greater Metro,-37.820069000000004,145.150014
227,4,19899,1,19899.0,Nunawading,Nunawading Railway Station (Nunawading),Platform,Nunawading,3131.0,Melbourne,Whitehorse,Greater Metro,-37.820599,145.17489
228,4,19900,1,19900.0,Mitcham,Mitcham Railway Station (Mitcham),Platform,Mitcham,3132.0,Melbourne,Whitehorse,Greater Metro,-37.818013,145.191973
229,4,19901,1,19901.0,Heatherdale,Heatherdale Railway Station (Mitcham),Platform,Mitcham,3132.0,Melbourne,Whitehorse,Greater Metro,-37.818896,145.212785
230,4,19913,3,19913.0,Springvale,Springvale Railway Station (Springvale),Platform,Springvale,3171.0,Melbourne,Greater Dandenong,Greater Metro,-37.949512,145.153451
231,4,19919,1,19919.0,Murrumbeena,Murrumbeena (Temporarily Closed) Railway Station (Murrumbeena),Platform,Murrumbeena,3163.0,Melbourne,Glen Eira,Greater Metro,-37.890196,145.067378
232,4,19921,1,19921.0,Werribee,Werribee Railway Station (Werribee),Platform,Werribee,3030.0,Melbourne,Wyndham,Greater Metro,-37.899382,144.661116
233,4,19922,2,19922.0,Hoppers Crossing ,Hoppers Crossing Railway Station (Hoppers Crossing),Platform,Hoppers Crossing,3029.0,Melbourne,Wyndham,Greater Metro,-37.883278999999995,144.70096
234,4,19923,1,19923.0,Laverton,Laverton Railway Station (Laverton),Platform,Laverton,3028.0,Melbourne,Hobsons Bay,Greater Metro,-37.863693,144.772615
235,4,19935,1,19935.0,Heidelberg,Heidelberg Railway Station (Heidelberg),Platform,Heidelberg,3084.0,Melbourne,Banyule,Greater Metro,-37.757075,145.06069
236,4,19936,1,19936.0,Rosanna,Rosanna Railway Station (Rosanna),Platform,Rosanna,3084.0,Melbourne,Banyule,Greater Metro,-37.742875,145.06614
237,4,19942,1,19942.0,Glenhuntly,Glenhuntly Railway Station (Glen Huntly),Platform,Glen Huntly,3163.0,Melbourne,Glen Eira,Greater Metro,-37.889717,145.042218
238,4,19958,1,19958.0,Prahran,Prahran Railway Station (Prahran),Platform,Prahran,3181.0,Melbourne,Stonnington,Greater Metro,-37.849515999999994,144.98986000000002
239,4,19959,1,19959.0,South Yarra,South Yarra Railway Station (South Yarra),Platform,South Yarra,3141.0,Melbourne,Stonnington,Greater Metro,-37.838445,144.99234099999998
240,4,19960,1,19960.0,Upfield,Upfield Railway Station (Coolaroo),Platform,Coolaroo,3048.0,Melbourne,Hume,Greater Metro,-37.666076000000004,144.946745
241,4,19963,1,19963.0,Merlynston,Merlynston Railway Station (Coburg North),Platform,Coburg North,3058.0,Melbourne,Moreland,Greater Metro,-37.720937,144.96131200000002
